['Brooklyn Black Chocolate Stout', '12oz Btl', '2.29', '7.49-4pk', '44.94']
['Brooklyn Brown Ale', '12oz Btl', '1.49', '7.99', '31.96']
['Brooklyn East India Pale Ale', '12oz Btl', '1.49', '7.99', '31.96']
['Brooklyn Lager', '12oz Btl', '1.49', '7.99', '31.96']
['Brooklyn Local 1', '750ml Btl', '8.99', '', '']
['Brooklyn Local 2', '750ml Btl', '8.99', '', '']
['Brooklyn Monster Ale', '12oz Btl', '2.49', '7.49-4pk', '44.94']
['Brooklyn Oktoberfest', '12oz Btl', '', 'Seasonal', '']
['Brooklyn Pennant Pale Ale \xa1\xa555', '12oz Btl', '1.49', '7.99', '31.96']
['Brooklyn Pilsner', '12oz Btl', '1.49', '7.99', '31.96']
['Brooklyn Post Road Pumpkin Ale', '12oz Btl', '1.99', '8.49', '33.96']
['Brooklyn Winter Ale', '12oz Btl', '', 'Seasonal', '']
['Buffalo Bills Alimony Ale', '12oz Btl', '1.99', '7.99', '31.96']
['Buffalo Bills Pumpkin Ale', '12oz Btl', '', 'Seasonal', '']
['Butternuts HeinnieWeisse', '12oz Can', '', '6.99', '27.96']
['Butternuts Moo Thunder Stout', '12oz Can', '', '6.99', '27.96']
['Butternuts PorkSlap Pale Ale', '12oz Can', '', '6.99', '27.96']
['Butternuts Snapperhead IPA', '12oz Can', '', '6.99', '27.96']
['Cape Ann Fisherman\xa1\xa6s Brew', '12oz Btl', '1.99', '8.99', '35.96']
['Cape Ann Fisherman\xa1\xa6s IPA', '12oz Btl', '1.99', '8.99', '35.96']
['Cisco Grey Lady', '22oz Btl', '5.99', '', '']
['Cisco Sankaty Light', '12oz Btl', '1.99', '11.49', '45.96']
['Cisco Whales Tale Pale Ale', '12oz Can', '2.49', '9.99', '39.96']
['Coney Island Sword Swallower', '22oz Btl', '4.99', '', '']
['Diamond Knot Brown Ale', '22oz Btl', '3.99', '', '']
['Diamond Knot India Pale Ale', '22oz Btl', '3.99', '', '']
['Diamond Knot Industrial IPA', '22oz Btl', '4.99', '', '']
['Diamond Knot Vienna-Style Ale', '22oz Btl', '3.99', '', '']
['Dixie', '12oz Btl', '1.99', '8.99', '35.96']
['Dixie Blackened Voodoo Lager', '12oz Btl', '1.99', '8.99', '35.96']
['Dog sh Head 120-Minute IPA', '12oz Btl', '8.99', '', '']
['Dog sh Head 60-Minute IPA', '12oz Btl', '1.79', '8.99', '35.96']
['Dog sh Head 90-Minute IPA', '12oz Btl', '2.69', '8.99-4pk', '53.94']
['Dog sh Head Black & Blue', '750ml Btl', '11.99', '', '']
['Dog sh Head Burton Baton', '12oz Btl', '3.99', '14.99-4pk', '89.94']
['Dog sh Head Fort', '750ml Btl', '17.99', '', '']
['Dog sh Head Indian Brown Ale', '12oz Btl', '2.29', '8.99', '35.96']
['Dog sh Head Midas Touch', '12oz Btl', '3.49', '11.49-4pk', '68.94']
['Dog sh Head My Antonia', '750ml Btl', '7.99', '', '']
['Dog sh Head Namaste', '750ml Btl', '8.99', '', '']
['Dog sh Head Old School Barleywine', '12oz Btl', '3.99', '14.99-4pk', '89.94']
['Dog sh Head Palo Santo Marron', '12oz Btl', '3.49', '11.49-4pk', '68.94']
['Dog sh Head Pangaea', '750ml Btl', '9.99', '', '']
['Dog sh Head Punkin Ale', '12oz Btl', '2.29', '8.49-4pk', '50.94']
['Dog sh Head Raison D\xa1\xa6Etre', '12oz Btl', '2.29', '8.99', '35.96']
['Dog sh Head Red & White', '750ml Btl', '11.99', '', '']
['Dog sh Head Sah\xa1\xa6tea', '750ml Btl', '11.99', '', '']
['Dog sh Head Shelter Pale Ale', '12oz Btl', '2.29', '8.99', '35.96']
['Dog sh Head Squall IPA', '750ml Btl', '7.99', '', '']
['Dog sh Head Theobroma', '750ml Btl', '11.99', '', '']
['Dog sh Head World Wide Stout', '12oz Btl', '8.99', '', '']
['Dominion Ale', '12oz Btl', '1.79', '7.49', '29.96']
['Dominion Baltic Porter Winter Brew', '12oz Btl', '', 'Seasonal', '']
['Dominion Hop Mountain Pale Ale', '12oz Btl', '1.79', '7.49', '29.96']
['Dominion Lager', '12oz Btl', '1.79', '7.49', '29.96']
['Dominion Oak Barrel Stout', '12oz Btl', '1.79', '7.49', '29.96']
['Dominion Octoberfest', '12oz Btl', '', 'Seasonal', '']
['Duclaw Black Lightning', '12oz Btl', '1.99', '8.49', '33.96']
['Duclaw Sawtooth', '12oz Btl', '1.99', '8.49', '33.96']
['Dundee Original Honey Brown (12pk-8.99)', '12oz Btl', '1.19', '4.79', '17.98']
['Erie Mad Anthonys APA', '12oz Btl', '2.79', '10.99', '43.96']
